time,raw_value,voltage_calc,voltage_default
0.374,32820.63846584101,0.0080,32786.6432
0.375,32820.63846584101,0.0080,32786.6432
0.376,32819.619469960824,0.0079,32785.6048
0.377,32822.67645760138,0.0083,32788.7199
0.378,32820.63846584101,0.0080,32786.6432
0.379,32823.69545348157,0.0085,32789.7583
0.380,32822.67645760138,0.0083,32788.7199
0.381,32823.69545348157,0.0085,32789.7583
0.382,32820.63846584101,0.0080,32786.6432
0.383,32823.69545348157,0.0085,32789.7583
0.384,32820.63846584101,0.0080,32786.6432
0.385,32821.657461721195,0.0082,32787.6816
0.386,32823.69545348157,0.0085,32789.7583
0.387,32822.67645760138,0.0083,32788.7199
0.388,32823.69545348157,0.0085,32789.7583
0.389,32824.71444936175,0.0087,32790.7966
0.390,32823.69545348157,0.0085,32789.7583
0.391,32821.657461721195,0.0082,32787.6816
0.392,32823.69545348157,0.0085,32789.7583
0.393,32823.69545348157,0.0085,32789.7583
0.394,32821.657461721195,0.0082,32787.6816
0.395,32823.69545348157,0.0085,32789.7583
0.396,32821.657461721195,0.0082,32787.6816
0.397,32821.657461721195,0.0082,32787.6816
0.398,32823.69545348157,0.0085,32789.7583
0.399,32823.69545348157,0.0085,32789.7583
0.400,32820.63846584101,0.0080,32786.6432
0.401,32822.67645760138,0.0083,32788.7199
0.402,32823.69545348157,0.0085,32789.7583
0.403,32822.67645760138,0.0083,32788.7199
0.404,32821.657461721195,0.0082,32787.6816
0.405,32820.63846584101,0.0080,32786.6432
0.406,32823.69545348157,0.0085,32789.7583
0.407,32824.71444936175,0.0087,32790.7966
0.408,32823.69545348157,0.0085,32789.7583
0.409,32822.67645760138,0.0083,32788.7199
0.410,32822.67645760138,0.0083,32788.7199
0.411,32821.657461721195,0.0082,32787.6816
0.412,32822.67645760138,0.0083,32788.7199
0.413,32823.69545348157,0.0085,32789.7583
0.414,32822.67645760138,0.0083,32788.7199
0.415,32821.657461721195,0.0082,32787.6816
0.416,32819.619469960824,0.0079,32785.6048
0.417,32821.657461721195,0.0082,32787.6816
0.418,32823.69545348157,0.0085,32789.7583
0.419,32821.657461721195,0.0082,32787.6816
0.420,32823.69545348157,0.0085,32789.7583
0.421,32822.67645760138,0.0083,32788.7199
0.422,32824.71444936175,0.0087,32790.7966
0.423,32822.67645760138,0.0083,32788.7199
0.424,32823.69545348157,0.0085,32789.7583
0.425,32824.71444936175,0.0087,32790.7966
0.426,32824.71444936175,0.0087,32790.7966
0.427,32823.69545348157,0.0085,32789.7583
0.428,32820.63846584101,0.0080,32786.6432
0.429,32823.69545348157,0.0085,32789.7583
0.430,32821.657461721195,0.0082,32787.6816
0.431,32820.63846584101,0.0080,32786.6432
0.432,32822.67645760138,0.0083,32788.7199
