time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.108,31911.69414071597,31934.11205008004,31966.71991824596,32945.97495910377,31486.772858678814,31926.979078918743
0.109,31926.979078918743,31983.02385232892,31998.308790531697,32977.5638313895,31497.98181336085,31927.99807479893
0.11,31834.250453821907,31932.074058319668,31968.75791000633,32961.25989730655,31516.323739204177,31963.662930605406
0.111,32163.386123121672,32107.341349711493,32056.39155570224,33011.19069543561,31427.67109762808,31775.148692771174
0.112,31748.654799886364,31902.523177794305,31946.34000064226,32942.91797146321,31468.430932835483,31901.50418191412
0.113,31865.83932610764,31910.675144835783,31916.789120116893,32908.27211153692,31385.892266540497,31808.77555681728
0.114,31727.25588640248,31822.022503259686,31845.459408503943,32841.01838344471,31360.41736953587,31804.69957329654
0.115,31648.793203628233,31736.426849324143,31752.730783407103,32745.23277070732,31312.524563167175,31773.110701010806
0.116,31590.710438457685,31665.097137711193,31676.306092393228,32673.903059094366,31249.346818595703,31711.970948199705
0.117,31370.60732833772,31480.658883397704,31507.152776282514,32521.053677066615,31187.188069904416,31673.249104752675
0.118,31447.032019351598,31473.525912236408,31451.108002872337,32442.590994292368,31054.718605480364,31519.380726844734
0.119,31290.106653803105,31402.196200623457,31425.633105867713,32430.363043730147,31087.326473646284,31567.27353321343
0.12,31479.63988751752,31501.038801001403,31497.98181336085,32487.42681302051,31048.604630199254,31489.829846319368
0.121,31387.930258300865,31489.829846319368,31527.532693886213,32522.0726729468,31122.991329452758,31574.406504374725
0.122,31523.456710365474,31579.50148377565,31604.976380780277,32595.44037632012,31157.63718937905,31597.84340961898
0.123,31509.190768042885,31603.95738490009,31654.907178909343,32655.561133251038,31227.947905111818,31673.249104752675
0.124,31766.996725729696,31776.16768865136,31780.2436721721,32759.498713029912,31224.89091747126,31625.356298383977
0.125,31634.52726130564,31752.730783407103,31804.69957329654,32797.20156059675,31322.714521969025,31755.78777104766
0.126,31779.224676291917,31830.17447030117,31851.573383785053,32830.82842464286,31316.600546687914,31741.52182872507
0.127,31716.046931720444,31844.440412623757,31909.656148955597,32910.31010329729,31438.880052310116,31886.219243711344
0.128,31861.763342586903,31938.188033600778,32001.36577817225,32996.924753113024,31512.24775568344,31953.472971803556
0.129,31760.882750448585,31883.162256070787,31958.56795120448,32969.411864348025,31575.42550025491,32041.106617499467
0.13,31796.547606255062,31875.01028902931,31920.865103637632,32937.82299206229,31562.178553812504,32037.030633978728
0.131,31728.274882282665,31819.984511499315,31861.763342586903,32875.664243371,31551.988595010655,32041.106617499467
0.132,31678.3440841536,31761.90174632877,31794.50961449469,32807.3915193986,31506.133780402328,32001.36577817225
0.133,31690.572034715817,31748.654799886364,31757.82576280803,32763.574696550648,31442.956035830855,31927.99807479893
0.134,31637.584248946197,31705.856972918595,31717.06592760063,32714.66289430177,31402.196200623457,31881.12426431042
0.135,31591.72943433787,31653.888183029158,31657.964166549897,32654.542137370852,31332.904480770874,31809.794552697465
0.136,31803.680577416355,31769.034717490063,31694.64801823656,32646.390170329374,31188.2070657846,31603.95738490009
0.137,31557.08357441158,31631.470273665087,31602.938389019906,32577.09845047679,31120.95333769239,31544.85562384936
0.138,31226.928909231632,31386.91126242068,31427.67109762808,32435.45802313107,31124.010325332943,31617.204331342495
0.139,31353.284398374573,31408.310175904568,31425.633105867713,32428.325051969776,31076.11751896425,31556.064578531394
0.14,31330.866489010503,31418.500134706417,31446.013023471412,32440.553002531997,31100.573420088687,31578.482487895464
0.141,31416.462142946046,31477.601895757147,31494.924825720293,32488.445808900695,31113.820366531094,31576.444496135096
0.142,31529.570685646584,31580.520479655836,31596.824413738796,32578.117446356977,31148.466226457385,31588.672446697317
0.143,31496.962817480664,31596.824413738796,31647.774207748047,32650.46615385011,31246.289830955146,31695.667014116745
0.144,31501.038801001403,31615.166339582127,31683.439063554524,32685.1120137764,31321.69552608884,31787.376643333395
0.145,31573.38750849454,31652.869187148972,31699.742997637484,32699.377956098993,31348.18941897365,31819.984511499315
0.146,31636.56525306601,31707.894964678962,31742.540824605254,32734.023816025285,31376.72130361883,31849.53539202468
0.147,31814.88953209839,31857.687359066163,31882.1432601906,32859.360309288044,31421.55712234697,31866.858321987827
0.148,31726.236890522294,31858.70635494635,31926.979078918743,32925.59504150007,31544.85562384936,32006.460757573175
0.149,31852.59237966524,31910.675144835783,31950.415984163,32941.898975583026,31545.874619729544,32005.44176169299
0.15,32019.707704015582,32021.745695775953,32004.422765812807,32975.52583962913,31478.620891637333,31894.371210752823
0.151,31854.630371425606,31947.358996522446,31964.68192648559,32945.97495910377,31487.791854559,31920.865103637632
0.152,31694.64801823656,31813.870536218208,31864.820330227456,32875.664243371,31489.829846319368,31960.60594296485
0.153,31654.907178909343,31743.55982048544,31788.39563921358,32800.25854823731,31451.108002872337,31935.131045960225
0.154,31754.768775167475,31782.28166393247,31776.16768865136,32762.555700670462,31364.49335305661,31826.098486780425
0.155,31672.23010887249,31734.388857563776,31731.33186992322,32718.738877822507,31316.600546687914,31765.97772984951
0.156,31594.786421978424,31663.05914595082,31657.964166549897,32651.485149730295,31254.441797996627,31710.95195231952
0.157,31321.69552608884,31447.032019351598,31476.582899876965,32496.597775942173,31202.47300810719,31700.76199351767
0.158,31375.702307738644,31418.500134706417,31416.462142946046,32418.135093167926,31098.53542832832,31579.50148377565
0.159,31440.918044070488,31476.582899876965,31458.240974033633,32437.49601489144,31049.623626079436,31507.152776282514
0.16,31542.81763208899,31567.27353321343,31540.77964032862,32508.825726504394,31027.205716715365,31452.126998752523
0.161,31413.405155305492,31530.58968152677,31566.254537333247,32553.661545232535,31114.83936241128,31553.00759089084
0.162,31694.64801823656,31696.686009996927,31697.705005877113,32674.92205497455,31110.76337889054,31502.05779688159
0.163,31503.076792761774,31642.679228347122,31706.87596879878,32706.510927260286,31238.137863913667,31673.249104752675
0.164,31620.26131898305,31703.818981158223,31761.90174632877,32762.555700670462,31289.08765792292,31726.236890522294
0.165,31588.672446697317,31695.667014116745,31764.958733969324,32775.80264711287,31346.15142721328,31803.680577416355
0.166,31632.489269545273,31720.122915241183,31776.16768865136,32778.859634753426,31381.816283019754,31853.61137554542
0.167,31687.515047075263,31783.300659812656,31847.497400264314,32850.18934636638,31462.316957554372,31936.15004184041
0.168,31744.578816365625,31845.459408503943,31910.675144835783,32918.46207033878,31545.874619729544,32022.764691656135
0.169,31787.376643333395,31864.820330227456,31917.80811599708,32919.481066218956,31564.216545572875,32039.068625739095
0.17,31785.338651573027,31862.78233846709,31892.333218992455,32892.98717333415,31554.026586771026,32030.916658697617
0.171,31798.58559801543,31866.858321987827,31879.08627255005,32863.43629280878,31525.494702125845,32002.384774052436
0.172,31786.35764745321,31841.383424983203,31850.554387904867,32841.01838344471,31470.468924595854,31932.074058319668
0.173,31616.185335462313,31726.236890522294,31762.920742208957,32765.61268831102,31462.316957554372,31948.37799240263
0.174,31564.216545572875,31655.92617478953,31695.667014116745,32711.605906661214,31440.918044070488,31942.26401712152
0.175,31853.61137554542,31802.661581536173,31732.350865803404,32685.1120137764,31269.7267361994,31700.76199351767
0.176,31556.064578531394,31665.097137711193,31665.097137711193,32644.352178569003,31277.878703240884,31738.464841084515
0.177,31535.684660927694,31577.463492015282,31557.08357441158,32544.49058231087,31135.21928001498,31579.50148377565
0.178,31412.386159425307,31488.810850439182,31478.620891637333,32467.04689541681,31080.193502484988,31534.66566504751
0.179,31288.068662042733,31400.158208863086,31434.804068789377,32435.45802313107,31091.402457167023,31570.330520853986
0.18,31711.970948199705,31642.679228347122,31585.61545905676,32539.395602909943,31024.148729074812,31381.816283019754
0.181,31529.570685646584,31624.33730250379,31632.489269545273,32609.70631864271,31074.079527203878,31477.601895757147
0.182,31491.86783807974,31608.03336842083,31671.211112992303,32669.82707557363,31170.884135821456,31601.91939313972
0.183,31648.793203628233,31702.799985278038,31737.44584520433,32727.90984074417,31194.321041065712,31614.14734370194
0.184,31547.912611489915,31677.325088273414,31748.654799886364,32761.536704790276,31303.353600245508,31748.654799886364
0.185,31577.463492015282,31684.45805943471,31753.74977928729,32776.821642993054,31363.474357176427,31824.060495020058
0.186,31575.42550025491,31680.382075913967,31746.616808125993,32767.65068007139,31412.386159425307,31894.371210752823
0.187,31974.87188528744,31952.45397592337,31935.131045960225,32908.27211153692,31398.120217102714,31810.81354857765
0.188,31775.148692771174,31916.789120116893,31989.13782761003,32988.77278607154,31546.89361560973,31991.1758193704
0.189,31768.01572160988,31879.08627255005,31951.434980043185,32967.373872587654,31581.53947553602,32052.315572181502
0.19,31903.54217367449,31939.207029480964,31954.491967683738,32951.0699385047,31524.47570624566,31978.94786880818
0.191,31795.528610374877,31885.20024783116,31910.675144835783,32904.196128016185,31515.304743323995,31980.98586056855
0.192,31972.83389352707,31968.75791000633,31937.169037720596,32905.21512389637,31410.348167664935,31831.19346618135
0.193,31692.610026476188,31822.022503259686,31859.72535082653,32863.43629280878,31454.16499051289,31907.61815719523
0.194,31560.140562052136,31686.496051195078,31744.578816365625,32766.631684191205,31441.937039950673,31932.074058319668
0.195,31616.185335462313,31666.11613359138,31673.249104752675,32676.960046734923,31347.170423093467,31836.28844558228
0.196,31533.646669167323,31605.99537666046,31607.014372540645,32594.421380439933,31281.954686761623,31769.034717490063
0.197,31641.660232466937,31628.413286024534,31568.292529093615,32540.41459879013,31116.87735417165,31553.00759089084
0.198,31432.766077029006,31515.304743323995,31493.905829840107,32475.19886245829,31072.041535443506,31522.437714485288
0.199,31365.512348936794,31463.335953434558,31479.63988751752,32471.122878937545,31086.3074777661,31547.912611489915
0.2,31489.829846319368,31528.5516897664,31530.58968152677,32514.9397017855,31061.851576641657,31500.019805121217
0.201,31319.657534328468,31458.240974033633,31522.437714485288,32532.26263174865,31163.75116466016,31634.52726130564
0.202,31310.486571406804,31436.84206054975,31516.323739204177,32546.528574071242,31248.327822715517,31745.59781224581
0.203,31466.39294107511,31528.5516897664,31569.3115249738,32581.174433997534,31256.479789757,31745.59781224581
0.204,31731.33186992322,31734.388857563776,31731.33186992322,32698.358960218808,31259.536777397552,31691.591030596002
0.205,31721.14191112137,31788.39563921358,31801.642585655987,32774.78365123268,31306.410587886065,31731.33186992322
0.206,31580.520479655836,31715.02793584026,31783.300659812656,32782.93561827417,31399.1392129829,31858.70635494635
0.207,31735.407853443958,31814.88953209839,31869.915309628384,32866.49328044934,31456.202982273262,31918.827111877265
0.208,31683.439063554524,31814.88953209839,31902.523177794305,32917.44307445859,31581.53947553602,32069.638502144648
0.209,31779.224676291917,31851.573383785053,31907.61815719523,32912.34809505766,31580.520479655836,32061.486535103166
0.21,31979.966864688366,31974.87188528744,31960.60594296485,32937.82299206229,31504.09578864196,31944.30200888189
0.211,31814.88953209839,31904.561169554672,31922.903095398004,32909.291107417106,31517.342735084363,31968.75791000633
0.212,31795.528610374877,31864.820330227456,31870.934305508566,32858.34131340786,31469.44992871567,31929.017070679114
0.213,31726.236890522294,31803.680577416355,31831.19346618135,32824.71444936175,31439.899048190302,31903.54217367449
