time,CH0_raw,CH1_raw,CH2_raw
0.206,32853.165976230135,32748.126262033606,32880.70065859233
0.207,33043.86914666461,32935.77002331673,33083.64146563223
0.208,33357.968486203754,33277.40404521806,33507.879534620166
0.209,33844.414541269245,33768.94911553581,34100.385106932634
0.21,34226.84068518865,34089.167273377665,34353.29626344467
0.211,34369.61311225189,34195.22679062465,34319.64276277976
0.212,34373.6923244537,34207.464427230065,34266.61300415627
0.213,34288.028868215755,34126.89998624438,34134.03860759754
0.214,34123.840577093026,33960.67208902074,33906.6225273468
0.215,33929.05819445674,33779.147146040326,33705.7213264078
0.216,33730.19659961865,33592.52318780766,33513.99835292287
0.217,33540.51323223462,33405.899229574985,33322.275379437946
0.218,33211.116846938705,33051.00776801778,32872.54223418872
0.219,32716.5123674696,32549.264667195515,32267.799025270826
0.22,32320.82878389432,32224.967297151852,32026.105702313762
0.221,32193.353402587847,32137.264234813003,32085.25427923996
0.222,32230.066312404117,32153.58108362023,32165.818720225652
0.223,32328.987208297935,32246.383161211343,32304.51193508709
0.224,32478.89825671434,32399.353618779103,32515.6111665306
0.225,32669.601427148817,32573.739940406354,32704.274730864177
0.226,32849.08676402833,32745.06685288225,32879.68085554188
0.227,33044.88894971507,32940.869038568984,33084.661268682685
0.228,33361.02789535511,33278.42384826852,33512.97854987242
0.229,33844.414541269245,33768.94911553581,34111.6029404876
0.23,34242.137730945426,34098.34550083173,34356.35567259602
0.231,34375.731930554604,34199.30600282645,34326.78138413292
0.232,34369.61311225189,34204.40501807871,34266.61300415627
0.233,34288.028868215755,34126.89998624438,34135.058410647995
0.234,34118.74156184076,33958.63248291984,33905.60272429635
0.235,33920.899770053125,33777.107539939425,33709.80053860961
0.236,33737.33522097181,33600.68161221127,33524.19638342739
0.237,33531.33500478055,33397.74080517137,33323.29518248839
0.238,33219.27527134232,33052.027571068225,32877.64124944098
0.239,32721.611382721858,32555.38348549822,32280.03666187625
0.24,32333.066420499737,32233.125721555465,32040.382945020086
0.241,32213.749463596883,32152.561280569782,32094.43250669403
0.242,32224.967297151852,32153.58108362023,32165.818720225652
0.243,32324.907996096124,32241.284145959085,32298.393116784384
0.244,32477.878453663892,32397.314012678202,32510.512151278344
0.245,32667.561821047915,32572.7201373559,32701.21532171282
0.246,32859.28479453285,32749.14606508406,32879.68085554188
0.247,33053.04737411868,32944.948250770794,33091.79989003584
0.248,33363.06750145601,33282.50306047033,33522.15677732649
0.249,33847.47395042059,33770.98872163671,34104.46431913444
0.25,34214.60304858323,34073.870227620886,34332.90020243563
0.251,34322.702171931116,34158.51388080838,34290.06847431666
0.252,34382.87055190777,34210.52383638142,34269.67241330762
0.253,34290.06847431666,34122.82077404257,34124.86038014347
0.254,34118.74156184076,33959.65228597029,33906.6225273468
0.255,33913.76114869996,33765.889706384456,33693.48368980238
0.256,33705.7213264078,33576.20633900043,33503.800322418356
0.257,33522.15677732649,33390.60218381821,33319.21597028659
0.258,33210.09704388825,33042.849343614165,32861.32440063375
0.259,32685.91827595605,32531.928015337835,32257.60099476631
0.26,32292.274298481672,32195.393008688756,32001.63042910292
0.261,32221.907888000496,32150.521674468873,32086.274082290416
0.262,32235.165327656374,32160.719704973395,32172.957341578818
0.263,32324.907996096124,32244.34355511044,32310.6307533898
0.264,32490.11609026931,32406.49224013227,32519.69037873241
0.265,32671.641033249725,32576.79934955771,32701.21532171282
0.266,32857.245188431945,32755.264883386764,32892.93829519775
0.267,33051.00776801778,32944.948250770794,33094.8592991872
0.268,33378.36454721279,33294.740697075744,33522.15677732649
0.269,33849.5135565215,33778.12734298988,34117.721758790314
0.27,34228.880291289555,34091.20687947857,34358.395278696924
0.271,34371.6527183528,34194.206987574194,34320.662565830215
0.272,34364.514096999636,34202.36541197781,34265.59320110582
0.273,34293.12788346801,34129.95939539573,34129.95939539573
0.274,34122.82077404257,33961.69189207119,33908.6621334477
0.275,33924.97898225493,33777.107539939425,33706.741129458256
0.276,33736.31541792135,33597.62220305992,33523.17658037694
0.277,33531.33500478055,33398.760608221826,33318.196167236136
0.278,33211.116846938705,33047.94835886642,32875.60164334007
0.279,32718.551973570502,32551.304273296417,32273.917843573538
0.28,32327.96740524748,32231.086115454564,32033.244323666924
0.281,32206.610842243725,32145.422659216616,32088.313688391318
0.282,32225.987100202306,32152.561280569782,32170.91773547791
0.283,32317.769374742966,32237.204933757275,32301.45252593574
0.284,32474.819044512536,32391.19519437549,32506.43293907654
0.285,32665.522214947014,32570.680531255,32706.314336965086
0.286,32870.502628087816,32759.344095588574,32888.85908299595
0.287,33041.82954056371,32934.75022026627,33079.56225343043
0.288,33373.26553196053,33290.66148487394,33526.23598952829
0.289,33858.69178397557,33781.186752141235,34119.761364891216
0.29,34242.137730945426,34098.34550083173,34355.33586954557
0.291,34383.89035495822,34206.44462417962,34336.97941463744
0.292,34378.79133970596,34215.62285163368,34273.75162550943
0.293,34292.108080417565,34128.93959234528,34130.979198446184
0.294,34122.82077404257,33962.711695121645,33917.84036090177
0.295,33923.95917920448,33778.12734298988,33707.7609325087
0.296,33731.216402669095,33592.52318780766,33520.11717122558
0.297,33543.572641385974,33408.95863872634,33325.3347885893
0.298,33218.25546829186,33053.04737411868,32868.463021986914
0.299,32726.710397974115,32562.522106851386,32276.977252724893
0.3,32335.106026600646,32239.244539858177,32050.580975524605
0.301,32209.67025139508,32150.521674468873,32094.43250669403
0.302,32231.086115454564,32158.680098872494,32177.03655378062
0.303,32313.690162541156,32234.14552460592,32296.353510683475
0.304,32466.660620108923,32386.096179123233,32500.31412077383
0.305,32671.641033249725,32572.7201373559,32700.195518662375
0.306,32858.26499148239,32750.165868134507,32881.720461642784
0.307,33047.94835886642,32942.90864466989,33089.76028393494
0.308,33368.166516708276,33288.62187877303,33526.23598952829
0.309,33861.75119312692,33784.24616129259,34116.70195573986
0.31,34244.17733704633,34104.46431913444,34365.53390005009
0.311,34384.91015800867,34208.48423028052,34331.88039938518
0.312,34379.811142756414,34216.64265468413,34274.771428559885
0.313,34288.028868215755,34128.93959234528,34130.979198446184
0.314,34117.721758790314,33958.63248291984,33910.701739548604
0.315,33928.038391406284,33779.147146040326,33712.85994776097
0.316,33738.35502402226,33598.64200611037,33524.19638342739
0.317,33541.53303528507,33405.899229574985,33320.23577333704
0.318,33219.27527134232,33049.987964967324,32865.40361283556
0.319,32707.334140015533,32546.20525804416,32271.878237472636
0.32,32331.026814398836,32233.125721555465,32038.343338919185
0.321,32200.492023941013,32140.32364396436,32086.274082290416
0.322,32229.046509353662,32153.58108362023,32166.838523276107
0.323,32322.868389995223,32245.36335816089,32312.67035949071
0.324,32486.036878067505,32400.373421829558,32512.551757379253
0.325,32673.680639350627,32577.819152608165,32704.274730864177
0.326,32856.22538538149,32754.245080336317,32888.85908299595
0.327,33053.04737411868,32946.987856871696,33093.83949613675
0.328,33367.14671365782,33287.602075722585,33525.21618647784
0.329,33864.810602278274,33790.3649795953,34127.91978929483
0.33,34240.098124844524,34098.34550083173,34352.27646039421
0.331,34369.61311225189,34195.22679062465,34326.78138413292
0.332,34374.71212750416,34206.44462417962,34265.59320110582
0.333,34284.9694590644,34124.86038014347,34131.99900149664
0.334,34118.74156184076,33957.61267986939,33904.58292124589
0.335,33913.76114869996,33767.92931248536,33701.642114206
0.336,33696.543098953734,33569.06771764727,33502.7805193679
0.337,33537.45382308326,33397.74080517137,33318.196167236136
0.338,33196.83960423238,33034.690919210545,32851.126370129234
0.339,32708.353943065988,32543.145848892804,32268.81882832128
0.34,32333.066420499737,32235.165327656374,32040.382945020086
0.341,32208.650448344626,32147.462265317525,32092.392900593128
0.342,32222.92769105095,32150.521674468873,32165.818720225652
0.343,32333.066420499737,32248.422767312244,32313.690162541156
0.344,32492.155696370217,32409.551649283625,32523.769590934222
0.345,32682.858866804694,32586.997380062225,32716.5123674696
0.346,32865.40361283556,32763.423307790385,32900.07691655092
0.347,33069.364222925906,32962.284902628475,33105.05732969172
0.348,33369.18631975872,33292.70109097484,33532.354807831005
0.349,33865.83040532873,33787.30557044395,34123.840577093026
0.35,34250.29615534904,34106.503925235345,34359.41508174738
0.351,34382.87055190777,34209.50403333097,34333.920005486085
0.352,34382.87055190777,34221.74166993639,34281.91004991304
