time,CH0_raw
0.316,32782.93561827417
0.317,32780.8976265138
0.318,32779.87863063361
0.319,32779.87863063361
0.32,32775.80264711287
0.321,32779.87863063361
0.322,32780.8976265138
0.323,32780.8976265138
0.324,32776.821642993054
0.325,32778.859634753426
0.326,32782.93561827417
0.327,32779.87863063361
0.328,32782.93561827417
0.329,32778.859634753426
0.33,32779.87863063361
0.331,32779.87863063361
0.332,32777.84063887324
0.333,32779.87863063361
0.334,32779.87863063361
0.335,32779.87863063361
0.336,32779.87863063361
0.337,32778.859634753426
0.338,32776.821642993054
0.339,32780.8976265138
0.34,32780.8976265138
0.341,32778.859634753426
0.342,32778.859634753426
0.343,32781.91662239398
0.344,32779.87863063361
0.345,32781.91662239398
0.346,32781.91662239398
0.347,32779.87863063361
0.348,32780.8976265138
0.349,32782.93561827417
0.35,32781.91662239398
0.351,32778.859634753426
0.352,32778.859634753426
0.353,32778.859634753426
0.354,32780.8976265138
0.355,32780.8976265138
0.356,32781.91662239398
0.357,32779.87863063361
0.358,32779.87863063361
0.359,32782.93561827417
0.36,32779.87863063361
0.361,32779.87863063361
0.362,32780.8976265138
0.363,32778.859634753426
0.364,32779.87863063361
0.365,32779.87863063361
0.366,32779.87863063361
0.367,32778.859634753426
0.368,32779.87863063361
0.369,32778.859634753426
0.37,32778.859634753426
0.371,32781.91662239398
0.372,32778.859634753426
0.373,32779.87863063361
0.374,32779.87863063361
0.375,32783.95461415435
0.376,32781.91662239398
0.377,32777.84063887324
0.378,32779.87863063361
0.379,32778.859634753426
0.38,32781.91662239398
0.381,32779.87863063361
0.382,32779.87863063361
0.383,32783.95461415435
0.384,32781.91662239398
0.385,32778.859634753426
0.386,32780.8976265138
0.387,32779.87863063361
0.388,32779.87863063361
0.389,32781.91662239398
0.39,32780.8976265138
0.391,32775.80264711287
0.392,32777.84063887324
0.393,32779.87863063361
0.394,32780.8976265138
0.395,32777.84063887324
0.396,32783.95461415435
0.397,32779.87863063361
0.398,32781.91662239398
0.399,32782.93561827417
0.4,32779.87863063361
0.401,32780.8976265138
0.402,32779.87863063361
0.403,32776.821642993054
0.404,32778.859634753426
0.405,32781.91662239398
0.406,32779.87863063361
0.407,32779.87863063361
0.408,32781.91662239398
0.409,32781.91662239398
0.41,32779.87863063361
0.411,32779.87863063361
0.412,32783.95461415435
0.413,32781.91662239398
0.414,32777.84063887324
0.415,32780.8976265138
0.416,32778.859634753426
0.417,32781.91662239398
0.418,32778.859634753426
0.419,32779.87863063361
0.42,32780.8976265138
0.421,32779.87863063361
0.422,32781.91662239398
0.423,32781.91662239398
0.424,32781.91662239398
0.425,32779.87863063361
0.426,32778.859634753426
0.427,32779.87863063361
0.428,32780.8976265138
0.429,32781.91662239398
0.43,32780.8976265138
0.431,32781.91662239398
0.432,32779.87863063361
0.433,32779.87863063361
0.434,32780.8976265138
0.435,32779.87863063361
0.436,32780.8976265138
0.437,32778.859634753426
0.438,32778.859634753426
0.439,32781.91662239398
0.44,32780.8976265138
0.441,32778.859634753426
0.442,32779.87863063361
0.443,32782.93561827417
0.444,32779.87863063361
0.445,32783.95461415435
0.446,32779.87863063361
0.447,32781.91662239398
0.448,32782.93561827417
0.449,32781.91662239398
0.45,32779.87863063361
0.451,32780.8976265138
0.452,32781.91662239398
0.453,32781.91662239398
0.454,32778.859634753426
0.455,32778.859634753426
0.456,32781.91662239398
0.457,32780.8976265138
0.458,32782.93561827417
0.459,32779.87863063361
0.46,32779.87863063361
0.461,32781.91662239398
0.462,32781.91662239398
0.463,32778.859634753426
0.464,32780.8976265138
0.465,32780.8976265138
0.466,32779.87863063361
0.467,32780.8976265138
0.468,32780.8976265138
0.469,32778.859634753426
0.47,32781.91662239398
0.471,32778.859634753426
0.472,32780.8976265138
0.473,32779.87863063361
0.474,32781.91662239398
0.475,32779.87863063361
0.476,32781.91662239398
0.477,32782.93561827417
0.478,32778.859634753426
0.479,32779.87863063361
0.48,32777.84063887324
0.481,32780.8976265138
0.482,32780.8976265138
0.483,32781.91662239398
0.484,32777.84063887324
0.485,32778.859634753426
0.486,32778.859634753426
0.487,32781.91662239398
0.488,32780.8976265138
0.489,32780.8976265138
0.49,32781.91662239398
0.491,32778.859634753426
0.492,32781.91662239398
0.493,32780.8976265138
0.494,32781.91662239398
0.495,32781.91662239398
0.496,32781.91662239398
0.497,32781.91662239398
0.498,32778.859634753426
0.499,32777.84063887324
0.5,32779.87863063361
0.501,32780.8976265138
0.502,32779.87863063361
0.503,32779.87863063361
0.504,32779.87863063361
0.505,32782.93561827417
0.506,32780.8976265138
0.507,32778.859634753426
0.508,32780.8976265138
0.509,32778.859634753426
0.51,32780.8976265138
0.511,32782.93561827417
0.512,32779.87863063361
0.513,32779.87863063361
0.514,32779.87863063361
0.515,32779.87863063361
0.516,32781.91662239398
0.517,32781.91662239398
0.518,32781.91662239398
0.519,32780.8976265138
0.52,32779.87863063361
0.521,32780.8976265138
0.522,32778.859634753426
0.523,32780.8976265138
0.524,32777.84063887324
0.525,32779.87863063361
0.526,32779.87863063361
0.527,32778.859634753426
0.528,32779.87863063361
0.529,32781.91662239398
0.53,32779.87863063361
0.531,32781.91662239398
0.532,32779.87863063361
0.533,32782.93561827417
0.534,32779.87863063361
0.535,32778.859634753426
0.536,32780.8976265138
0.537,32782.93561827417
0.538,32780.8976265138
0.539,32780.8976265138
0.54,32780.8976265138
0.541,32781.91662239398
0.542,32777.84063887324
0.543,32776.821642993054
0.544,32776.821642993054
0.545,32777.84063887324
0.546,32779.87863063361
0.547,32779.87863063361
0.548,32780.8976265138
0.549,32784.97361003453
0.55,32781.91662239398
0.551,32778.859634753426
0.552,32779.87863063361
0.553,32779.87863063361
0.554,32783.95461415435
0.555,32781.91662239398
0.556,32780.8976265138
0.557,32780.8976265138
0.558,32780.8976265138
0.559,32778.859634753426
0.56,32777.84063887324
0.561,32781.91662239398
0.562,32778.859634753426
0.563,32779.87863063361
0.564,32779.87863063361
0.565,32781.91662239398
0.566,32780.8976265138
0.567,32779.87863063361
0.568,32780.8976265138
0.569,32776.821642993054
0.57,32781.91662239398
0.571,32782.93561827417
0.572,32778.859634753426
0.573,32778.859634753426
0.574,32779.87863063361
0.575,32779.87863063361
0.576,32778.859634753426
0.577,32781.91662239398
0.578,32776.821642993054
0.579,32778.859634753426
0.58,32779.87863063361
0.581,32780.8976265138
0.582,32781.91662239398
0.583,32781.91662239398
0.584,32779.87863063361
0.585,32779.87863063361
0.586,32779.87863063361
0.587,32779.87863063361
0.588,32779.87863063361
0.589,32778.859634753426
0.59,32778.859634753426
0.591,32779.87863063361
0.592,32779.87863063361
0.593,32778.859634753426
0.594,32778.859634753426
0.595,32780.8976265138
0.596,32783.95461415435
0.597,32781.91662239398
0.598,32780.8976265138
0.599,32778.859634753426
0.6,32780.8976265138
0.601,32780.8976265138
0.602,32779.87863063361
0.603,32777.84063887324
0.604,32778.859634753426
0.605,32778.859634753426
0.606,32776.821642993054
0.607,32776.821642993054
0.608,32777.84063887324
0.609,32779.87863063361
0.61,32778.859634753426
0.611,32779.87863063361
0.612,32778.859634753426
0.613,32780.8976265138
0.614,32779.87863063361
0.615,32780.8976265138
0.616,32780.8976265138
0.617,32780.8976265138
0.618,32782.93561827417
0.619,32779.87863063361
0.62,32781.91662239398
0.621,32780.8976265138
0.622,32779.87863063361
0.623,32779.87863063361
0.624,32780.8976265138
0.625,32781.91662239398
0.626,32779.87863063361
0.627,32782.93561827417
0.628,32781.91662239398
0.629,32781.91662239398
0.63,32781.91662239398
0.631,32781.91662239398
0.632,32780.8976265138
0.633,32781.91662239398
0.634,32782.93561827417
0.635,32781.91662239398
0.636,32779.87863063361
0.637,32777.84063887324
0.638,32777.84063887324
0.639,32779.87863063361
0.64,32779.87863063361
0.641,32778.859634753426
0.642,32777.84063887324
0.643,32780.8976265138
0.644,32780.8976265138
0.645,32779.87863063361
0.646,32778.859634753426
0.647,32777.84063887324
0.648,32784.97361003453
0.649,32779.87863063361
0.65,32779.87863063361
0.651,32778.859634753426
0.652,32779.87863063361
0.653,32780.8976265138
0.654,32781.91662239398
0.655,32781.91662239398
0.656,32780.8976265138
0.657,32778.859634753426
0.658,32779.87863063361
0.659,32778.859634753426
0.66,32781.91662239398
0.661,32781.91662239398
0.662,32781.91662239398
0.663,32778.859634753426
0.664,32782.93561827417
0.665,32780.8976265138
0.666,32783.95461415435
0.667,32779.87863063361
0.668,32778.859634753426
0.669,32778.859634753426
0.67,32780.8976265138
0.671,32781.91662239398
0.672,32781.91662239398
0.673,32781.91662239398
0.674,32781.91662239398
0.675,32781.91662239398
0.676,32781.91662239398
0.677,32779.87863063361
0.678,32780.8976265138
0.679,32779.87863063361
0.68,32779.87863063361
0.681,32779.87863063361
0.682,32778.859634753426
0.683,32778.859634753426
0.684,32779.87863063361
0.685,32779.87863063361
0.686,32780.8976265138
0.687,32780.8976265138
0.688,32781.91662239398
0.689,32778.859634753426
0.69,32781.91662239398
0.691,32780.8976265138
0.692,32781.91662239398
0.693,32780.8976265138
0.694,32778.859634753426
0.695,32780.8976265138
0.696,32781.91662239398
0.697,32780.8976265138
0.698,32782.93561827417
0.699,32780.8976265138
0.7,32777.84063887324
0.701,32777.84063887324
0.702,32779.87863063361
0.703,32779.87863063361
0.704,32781.91662239398
0.705,32781.91662239398
0.706,32780.8976265138
0.707,32781.91662239398
0.708,32779.87863063361
0.709,32784.97361003453
0.71,32780.8976265138
0.711,32779.87863063361
0.712,32779.87863063361
0.713,32779.87863063361
0.714,32778.859634753426
0.715,32780.8976265138
0.716,32778.859634753426
0.717,32777.84063887324
0.718,32778.859634753426
0.719,32779.87863063361
0.72,32780.8976265138
0.721,32779.87863063361
0.722,32781.91662239398
0.723,32781.91662239398
0.724,32779.87863063361
0.725,32778.859634753426
0.726,32779.87863063361
0.727,32781.91662239398
0.728,32781.91662239398
0.729,32780.8976265138
0.73,32778.859634753426
0.731,32779.87863063361
0.732,32780.8976265138
0.733,32778.859634753426
0.734,32780.8976265138
0.735,32780.8976265138
0.736,32779.87863063361
0.737,32780.8976265138
0.738,32779.87863063361
0.739,32780.8976265138
0.74,32783.95461415435
0.741,32783.95461415435
0.742,32781.91662239398
0.743,32783.95461415435
0.744,32782.93561827417
0.745,32781.91662239398
0.746,32781.91662239398
0.747,32780.8976265138
0.748,32779.87863063361
0.749,32781.91662239398
0.75,32775.80264711287
0.751,32780.8976265138
0.752,32779.87863063361
0.753,32783.95461415435
0.754,32781.91662239398
0.755,32779.87863063361
0.756,32778.859634753426
0.757,32780.8976265138
0.758,32782.93561827417
0.759,32781.91662239398
0.76,32779.87863063361
0.761,32778.859634753426
0.762,32779.87863063361
0.763,32777.84063887324
0.764,32776.821642993054
0.765,32779.87863063361
0.766,32779.87863063361
0.767,32782.93561827417
0.768,32781.91662239398
0.769,32777.84063887324
0.77,32780.8976265138
0.771,32779.87863063361
0.772,32780.8976265138
0.773,32779.87863063361
0.774,32780.8976265138
0.775,32779.87863063361
0.776,32778.859634753426
0.777,32781.91662239398
0.778,32780.8976265138
0.779,32781.91662239398
0.78,32780.8976265138
0.781,32778.859634753426
0.782,32776.821642993054
0.783,32779.87863063361
0.784,32779.87863063361
0.785,32778.859634753426
0.786,32781.91662239398
0.787,32780.8976265138
0.788,32780.8976265138
0.789,32777.84063887324
0.79,32779.87863063361
0.791,32778.859634753426
0.792,32781.91662239398
0.793,32781.91662239398
0.794,32779.87863063361
0.795,32779.87863063361
0.796,32781.91662239398
0.797,32778.859634753426
0.798,32782.93561827417
0.799,32779.87863063361
0.8,32778.859634753426
0.801,32778.859634753426
0.802,32781.91662239398
0.803,32781.91662239398
0.804,32780.8976265138
0.805,32780.8976265138
0.806,32782.93561827417
0.807,32781.91662239398
0.808,32780.8976265138
0.809,32781.91662239398
0.81,32780.8976265138
0.811,32780.8976265138
0.812,32779.87863063361
0.813,32781.91662239398
0.814,32779.87863063361
0.815,32780.8976265138
0.816,32777.84063887324
0.817,32782.93561827417
0.818,32782.93561827417
0.819,32781.91662239398
0.82,32780.8976265138
0.821,32777.84063887324
0.822,32777.84063887324
0.823,32779.87863063361
0.824,32779.87863063361
0.825,32779.87863063361
0.826,32782.93561827417
0.827,32781.91662239398
0.828,32781.91662239398
0.829,32781.91662239398
0.83,32780.8976265138
0.831,32781.91662239398
0.832,32780.8976265138
0.833,32781.91662239398
0.834,32779.87863063361
0.835,32779.87863063361
0.836,32780.8976265138
0.837,32779.87863063361
0.838,32781.91662239398
0.839,32781.91662239398
0.84,32779.87863063361
0.841,32779.87863063361
0.842,32780.8976265138
0.843,32781.91662239398
0.844,32780.8976265138
0.845,32778.859634753426
0.846,32778.859634753426
0.847,32779.87863063361
0.848,32779.87863063361
0.849,32778.859634753426
0.85,32780.8976265138
0.851,32778.859634753426
0.852,32778.859634753426
0.853,32778.859634753426
0.854,32778.859634753426
0.855,32778.859634753426
0.856,32781.91662239398
0.857,32780.8976265138
0.858,32779.87863063361
0.859,32781.91662239398
0.86,32781.91662239398
0.861,32780.8976265138
0.862,32779.87863063361
0.863,32777.84063887324
0.864,32779.87863063361
0.865,32780.8976265138
