time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.3250,31653,31538,31565,33397,33284,33304
0.3260,31666,31549,31588,33392,33284,33323
0.3270,31677,31558,31591,33432,33332,33391
0.3280,31694,31574,31622,33478,33375,33447
0.3290,31714,31589,31630,33543,33439,33509
0.3300,31730,31608,31652,33625,33524,33611
0.3310,31764,31638,31677,33710,33601,33689
0.3320,31756,31636,31676,33775,33660,33737
0.3330,31762,31640,31675,33834,33719,33798
0.3340,31768,31641,31679,33880,33760,33822
0.3350,31756,31636,31653,33896,33776,33830
0.3360,31744,31628,31648,33900,33774,33811
0.3370,31735,31618,31634,33848,33719,33751
0.3380,31716,31595,31605,33806,33671,33689
0.3390,31707,31593,31601,33745,33613,33621
0.3400,31683,31568,31574,33672,33538,33533
0.3410,31668,31558,31564,33578,33454,33450
0.3420,31663,31554,31559,33513,33391,33394
0.3430,31648,31534,31549,33454,33334,33335
0.3440,31642,31530,31557,33410,33297,33316
0.3450,31665,31545,31572,33400,33281,33303
0.3460,31656,31542,31586,33398,33290,33323
0.3470,31683,31563,31602,33432,33331,33384
0.3480,31692,31574,31613,33491,33384,33452
0.3490,31711,31591,31635,33547,33443,33511
0.3500,31725,31605,31644,33625,33521,33613
0.3510,31740,31618,31669,33700,33595,33684
0.3520,31759,31635,31671,33777,33664,33740
0.3530,31769,31643,31681,33837,33726,33803
0.3540,31766,31643,31671,33882,33762,33828
0.3550,31758,31641,31661,33902,33781,33834
0.3560,31746,31627,31642,33898,33774,33816
0.3570,31733,31618,31637,33860,33729,33754
0.3580,31724,31604,31613,33806,33677,33690
0.3590,31698,31585,31599,33732,33606,33621
0.3600,31688,31572,31583,33666,33531,33532
0.3610,31678,31561,31568,33580,33452,33450
0.3620,31661,31547,31560,33526,33397,33394
0.3630,31652,31533,31550,33456,33335,33342
0.3640,31647,31533,31551,33414,33300,33315
0.3650,31651,31540,31575,33393,33283,33314
0.3660,31665,31547,31575,33402,33292,33327
0.3670,31673,31561,31595,33428,33328,33377
0.3680,31694,31578,31624,33484,33380,33448
0.3690,31716,31592,31636,33549,33443,33520
0.3700,31740,31618,31657,33625,33524,33608
0.3710,31751,31626,31668,33713,33604,33688
0.3720,31760,31636,31672,33768,33659,33742
0.3730,31764,31642,31679,33835,33724,33801
0.3740,31782,31655,31682,33886,33763,33832
0.3750,31756,31636,31666,33906,33784,33837
0.3760,31751,31630,31647,33890,33766,33815
0.3770,31736,31616,31639,33861,33731,33754
0.3780,31725,31605,31610,33794,33671,33694
0.3790,31702,31588,31596,33744,33615,33630
0.3800,31689,31569,31580,33662,33527,33525
