time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.1240,31925,32002,32023,32991,31572,32024,31907,32015,32129,33161,31861,32316
0.1250,31907,32008,32053,33034,31627,32085,31962,32133,32301,33343,32098,32586
0.1260,32212,32195,32182,33138,31608,32007,32111,32263,32442,33494,32287,32789
0.1270,32100,32201,32229,33198,31699,32124,32357,32471,32636,33689,32462,32952
0.1280,32272,32308,32316,33275,31706,32105,32795,32916,33161,34175,32839,33299
0.1290,32219,32349,32450,33431,31878,32296,33087,33303,33690,34728,33400,33887
0.1300,32260,32393,32534,33532,32034,32477,33419,33541,33829,34885,33620,34116
0.1310,32306,32405,32514,33521,32088,32554,33626,33669,33789,34833,33576,34055
0.1320,32318,32398,32457,33458,32079,32563,33518,33619,33697,34752,33545,34044
0.1330,32353,32413,32443,33444,32061,32537,33304,33430,33480,34541,33426,33975
0.1340,32433,32457,32440,33414,31994,32447,33253,33301,33266,34319,33202,33728
0.1350,32204,32316,32334,33325,31992,32482,33127,33177,33098,34121,32979,33494
0.1360,32189,32259,32261,33245,31931,32425,32763,32905,32879,33923,32841,33394
0.1370,32255,32280,32246,33219,31846,32317,32573,32682,32644,33694,32662,33219
0.1380,32180,32241,32211,33176,31805,32276,32414,32404,32196,33224,32169,32693
0.1390,32120,32152,32072,33030,31665,32130,31876,31926,31650,32688,31677,32205
0.1400,31806,31925,31879,32860,31597,32109,31655,31723,31525,32542,31439,31944
0.1410,32072,32038,31939,32884,31455,31895,31567,31694,31645,32646,31475,31966
0.1420,31913,32005,31980,32937,31496,31944,31548,31688,31723,32754,31555,32042
0.1430,32225,32184,32114,33041,31463,31813,31716,31827,31896,32917,31682,32156
0.1440,32141,32208,32186,33125,31491,31861,31753,31932,32088,33123,31914,32414
0.1450,32011,32143,32193,33173,31590,31996,31990,32118,32277,33321,32099,32590
0.1460,32112,32189,32239,33217,31630,32044,32275,32358,32483,33509,32236,32704
0.1470,32013,32146,32226,33222,31728,32175,32324,32483,32660,33700,32467,32957
0.1480,32074,32168,32239,33240,31777,32232,32769,32904,33171,34193,32866,33331
0.1490,32159,32267,32379,33377,31911,32368,33151,33337,33715,34753,33400,33868
0.1500,32372,32433,32533,33514,32007,32438,33429,33559,33848,34910,33624,34110
0.1510,32427,32492,32559,33541,32047,32479,33689,33709,33816,34867,33561,34023
0.1520,32382,32475,32529,33514,32080,32535,33571,33667,33746,34795,33531,34012
0.1530,32416,32475,32499,33478,32047,32504,33510,33577,33582,34617,33378,33864
0.1540,32238,32352,32397,33399,32044,32533,33363,33425,33382,34410,33170,33658
0.1550,32299,32345,32343,33332,31966,32446,33055,33168,33127,34170,32997,33513
0.1560,32367,32381,32340,33304,31879,32331,32928,33001,32948,33980,32800,33316
0.1570,32237,32313,32292,33260,31856,32317,32742,32826,32762,33794,32616,33125
0.1580,32198,32257,32230,33199,31785,32251,32313,32390,32220,33275,32198,32729
0.1590,32048,32116,32054,33022,31679,32160,31916,31948,31676,32716,31666,32197
0.1600,31957,32008,31921,32883,31542,32025,31648,31732,31551,32563,31441,31949
0.1610,31711,31847,31841,32822,31554,32070,31598,31717,31667,32674,31471,31953
0.1620,31802,31870,31870,32839,31540,32039,31464,31647,31709,32740,31578,32095
0.1630,31843,31909,31914,32878,31555,32037,31700,31804,31888,32916,31683,32166
0.1640,31856,31937,31963,32934,31596,32077,31935,32035,32139,33164,31860,32314
0.1650,31980,32031,32051,33011,31623,32077,32045,32188,32334,33375,32083,32545
0.1660,32029,32096,32119,33087,31666,32110,32212,32344,32497,33537,32265,32735
0.1670,32008,32107,32154,33132,31734,32193,32445,32558,32714,33750,32436,32901
0.1680,32347,32323,32301,33238,31706,32097,32636,32845,33156,34202,32904,33394
0.1690,32056,32250,32387,33378,31938,32386,33223,33364,33721,34757,33393,33859
0.1700,32386,32438,32546,33524,32018,32444,33516,33618,33878,34928,33601,34066
0.1710,32472,32522,32580,33553,32040,32457,33614,33689,33816,34866,33584,34064
0.1720,32455,32523,32557,33535,32045,32474,33463,33595,33696,34752,33561,34082
0.1730,32318,32435,32491,33487,32077,32545,33465,33519,33536,34578,33388,33901
0.1740,32531,32523,32488,33451,31960,32392,33238,33323,33295,34346,33202,33727
0.1750,32274,32384,32394,33368,31962,32429,33108,33173,33112,34147,32989,33500
0.1760,32211,32295,32311,33293,31917,32398,32949,33014,32940,33975,32801,33297
0.1770,32317,32333,32298,33262,31826,32284,32627,32756,32715,33753,32636,33167
0.1780,32139,32237,32224,33194,31817,32292,32330,32370,32197,33254,32188,32716
0.1790,31975,32062,32018,32998,31709,32211,31950,31961,31668,32710,31651,32167
0.1800,32114,32082,31952,32898,31491,31946,31508,31651,31499,32525,31484,32033
0.1810,32107,32116,32013,32941,31426,31842,31498,31624,31597,32612,31499,32017
0.1820,31856,31995,32006,32969,31514,31958,31580,31689,31713,32730,31554,32050
0.1830,32010,32053,32053,33012,31504,31930,31687,31811,31891,32915,31695,32174
0.1840,31954,32050,32080,33056,31572,32012,31834,31971,32098,33127,31893,32367
0.1850,31974,32066,32106,33091,31615,32057,31995,32139,32298,33332,32097,32582
0.1860,32025,32107,32151,33136,31667,32112,32166,32300,32465,33505,32285,32774
0.1870,31954,32075,32149,33151,31748,32217,32391,32506,32661,33699,32466,32951
0.1880,32119,32174,32214,33200,31766,32224,32806,32936,33192,34208,32857,33314
0.1890,32320,32364,32428,33398,31863,32278,33118,33328,33717,34752,33419,33897
0.1900,32239,32383,32526,33525,32059,32502,33444,33560,33844,34903,33624,34112
0.1910,32397,32454,32535,33524,32064,32508,33567,33636,33772,34839,33607,34099
0.1920,32408,32472,32513,33500,32057,32508,33487,33586,33666,34735,33558,34072
0.1930,32439,32491,32507,33478,32028,32476,33574,33587,33562,34590,33356,33838
0.1940,32394,32457,32462,33436,31996,32448,33289,33380,33337,34370,33183,33682
0.1950,32446,32470,32434,33387,31902,32338,33156,33217,33149,34175,32965,33457
0.1960,32267,32364,32361,33331,31893,32348,33019,33075,32996,34018,32760,33232
0.1970,32282,32336,32321,33290,31842,32296,32902,32948,32845,33861,32547,33003
0.1980,32173,32256,32252,33232,31815,32279,32547,32577,32364,33393,32119,32577
0.1990,32436,32348,32203,33138,31603,31972,31951,32035,31780,32818,31649,32149
0.2000,32014,32122,32041,33005,31533,31972,31614,31744,31602,32629,31458,31970
0.2010,31989,32060,32014,32977,31489,31932,31551,31689,31677,32701,31478,31978
0.2020,31895,32002,32006,32984,31524,31978,31528,31684,31741,32783,31580,32083
0.2030,31825,31944,31977,32963,31560,32037,31654,31787,31883,32933,31719,32211
0.2040,31921,31989,32015,32997,31572,32040,31874,31990,32107,33141,31890,32366
0.2050,31886,31995,32054,33043,31651,32126,32098,32207,32338,33364,32059,32522
0.2060,31995,32064,32111,33097,31691,32155,32090,32279,32468,33526,32300,32803
0.2070,31949,32057,32126,33118,31764,32243,32508,32572,32709,33749,32435,32894
0.2080,31964,32069,32144,33142,31828,32321,32687,32886,33179,34213,32910,33389
0.2090,32246,32283,32355,33327,31900,32351,33214,33372,33740,34768,33398,33864
0.2100,32260,32369,32479,33466,32059,32515,33528,33630,33887,34936,33599,34062
0.2110,32421,32462,32519,33497,32059,32496,33633,33703,33826,34875,33593,34067
0.2120,32470,32517,32538,33510,32056,32491,33479,33603,33701,34757,33552,34066
0.2130,32477,32530,32532,33497,32028,32462,33443,33513,33539,34588,33399,33911
0.2140,32373,32457,32463,33441,32006,32458,33225,33313,33292,34347,33213,33738
0.2150,32288,32374,32378,33364,31968,32440,33026,33113,33073,34115,33010,33548
0.2160,32417,32424,32373,33333,31867,32308,32791,32894,32857,33911,32830,33375
0.2170,32101,32241,32264,33255,31896,32380,32657,32736,32672,33708,32643,33183
0.2180,32187,32235,32216,33192,31807,32284,32356,32382,32181,33214,32172,32703
0.2190,32060,32115,32056,33031,31684,32167,31979,31986,31684,32711,31643,32152
0.2200,32169,32136,32002,32946,31487,31920,31576,31702,31536,32551,31460,31977
0.2210,31876,31994,31954,32918,31506,31969,31468,31624,31612,32630,31507,32027
0.2220,31794,31912,31936,32918,31548,32028,31511,31646,31694,32727,31592,32103
0.2230,31848,31923,31948,32934,31560,32034,31687,31796,31875,32899,31714,32200
0.2240,31870,31954,31987,32972,31599,32074,31878,31993,32106,33130,31883,32353
0.2250,31895,31984,32027,33012,31654,32132,32064,32186,32320,33352,32083,32549
0.2260,31826,31952,32024,33025,31736,32234,32283,32393,32529,33557,32260,32717
0.2270,31771,31908,32007,33020,31815,32347,32555,32637,32764,33780,32409,32845
0.2280,32141,32125,32139,33113,31773,32242,32661,32897,33212,34250,32912,33393
0.2290,32021,32164,32270,33266,31963,32448,33173,33345,33733,34785,33424,33899
0.2300,32207,32292,32412,33408,32086,32563,33490,33594,33862,34925,33612,34088
0.2310,32409,32434,32475,33448,32075,32531,33594,33664,33792,34856,33602,34087
0.2320,32313,32400,32446,33432,32099,32572,33593,33666,33729,34773,33528,34020
0.2330,32543,32526,32498,33452,32006,32430,33459,33546,33564,34605,33397,33899
0.2340,32476,32519,32483,33433,31961,32385,33375,33413,33356,34387,33155,33640
0.2350,32332,32418,32415,33383,31943,32388,33094,33187,33135,34172,32970,33473
0.2360,32382,32417,32388,33346,31868,32309,33001,33054,32980,34008,32774,33259
0.2370,32208,32311,32309,33286,31862,32320,32818,32891,32813,33832,32580,33063
0.2380,32212,32267,32243,33221,31791,32252,32339,32420,32247,33295,32163,32674
0.2390,31963,32069,32034,33017,31706,32208,31812,31892,31655,32718,31680,32228
0.2400,31853,31925,31869,32855,31585,32101,31645,31716,31541,32560,31444,31961
0.2410,31948,31965,31898,32860,31490,31968,31618,31727,31680,32680,31466,31951
