time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.085,32162.367127241487,32026.840675176878,32055.37255982206,34471.593417297074,34311.48433837615,34316.583353628404
0.086,32122.626287914267,31987.09983584966,31994.232807010954,34293.12788346801,34134.03860759754,34079.9890459236
0.087,32091.037415628532,31955.510963563924,31954.491967683738,34097.32569778128,33950.47405851622,33879.0878449846
0.088,32036.011638098542,31905.580165434858,31900.485186033933,33895.40469379183,33766.90950943491,33701.642114206
0.089,31993.213811130772,31864.820330227456,31855.649367305792,33721.01837216458,33582.32515730314,33503.800322418356
0.09,31949.396988282813,31817.946519738947,31797.566602135244,33370.20612280918,33194.79999813147,32988.79978194022
0.091,31850.554387904867,31695.667014116745,31610.071360181202,32842.96794572562,32684.898472905596,32407.512043182716
0.092,31711.970948199705,31584.596463176575,31505.114784522142,32480.937862815248,32389.15558827459,32208.650448344626
0.093,31642.679228347122,31535.684660927694,31504.09578864196,32383.036769971877,32324.907996096124,32290.234692380764
0.094,31625.356298383977,31519.380726844734,31521.418718605106,32416.690270636784,32341.224844903358,32362.64070896284
0.095,31635.546257185826,31526.51369800603,31543.836627969176,32515.6111665306,32440.145740797176,32518.670575681957
0.096,31663.05914595082,31555.04558265121,31587.65345081713,32696.116306460564,32610.452850222617,32731.80941322638
0.097,31696.686009996927,31589.6914425775,31636.56525306601,32894.977901298655,32795.03720235438,32931.690811114924
0.098,31750.692791646736,31636.56525306601,31690.572034715817,33097.918708338555,32987.77997888977,33120.35437544849
0.099,31807.756560937098,31691.591030596002,31742.540824605254,33266.186211663095,33166.24551271882,33319.21597028659
0.1,31835.269449702093,31733.36986168359,31796.547606255062,33627.19649152302,33557.8498840923,33833.19670771427
0.101,31940.22602536115,31851.573383785053,31969.776905886516,34140.15742590025,34056.533575763206,34405.30621901771
0.102,32072.6954897852,31965.700922365773,32085.942436227608,34499.12809965927,34348.19724819241,34600.088601653995
0.103,32156.253151960373,32021.745695775953,32098.17038678983,34614.36584436032,34430.801295279,34545.0192369296
0.104,32183.76604072537,32050.27758042113,32095.11339914927,34606.2074199567,34438.959719682614,34497.08849355837
0.105,32183.76604072537,32044.163605140024,32065.56251862391,34514.42514541605,34349.217051242864,34340.0388237888
0.106,32148.101184918894,32019.707704015582,32030.916658697617,34334.93980853654,34174.83072961561,34125.88018319393
0.107,32113.455324992603,31979.966864688366,31971.814897646884,34145.25644115251,33995.345392736104,33922.93937615403
0.108,32066.581514504094,31935.131045960225,31923.92209127819,33939.25622496125,33802.60261620072,33728.15699351774
0.109,31994.232807010954,31875.01028902931,31865.83932610764,33734.27581182045,33604.76082441308,33533.37461088146
0.11,31954.491967683738,31824.060495020058,31801.642585655987,33377.344744162336,33202.958422535085,33000.01761549519
0.111,31852.59237966524,31703.818981158223,31630.4512777849,32869.48282503736,32709.373746116435,32427.908104191752
0.112,31730.312874043033,31598.862405499167,31522.437714485288,32524.78939398467,32427.908104191752,32244.34355511044
0.113,31660.002158310268,31551.988595010655,31519.380726844734,32407.512043182716,32352.442678458327,32315.729768642064
0.114,31640.64123658675,31534.66566504751,31536.70365680788,32438.106134696274,32363.660512013295,32390.175391325036
0.115,31645.736215987676,31536.70365680788,31549.950603250283,32553.34387939732,32468.700226209825,32542.12604584235
0.116,31675.287096513042,31565.23554145306,31598.862405499167,32717.532170520055,32636.967729534364,32759.344095588574
0.117,31712.989944079887,31609.052364301016,31661.021154190454,32914.354159257244,32815.43326336342,32953.10667517441
0.118,31760.882750448585,31650.831195388604,31699.742997637484,33096.89890528811,32990.839388041124,33128.51279985211
0.119,31802.661581536173,31690.572034715817,31743.55982048544,33289.64168182349,33185.62177067741,33336.55262214427
0.12,31853.61137554542,31743.55982048544,31805.718569176726,33646.5727494816,33576.20633900043,33852.57296567286
0.121,31954.491967683738,31868.8963137482,31988.118831729847,34164.63269911109,34083.04845507495,34431.821098329456
0.122,32091.037415628532,31977.928872927994,32098.17038678983,34522.58356981966,34371.6527183528,34617.425253511676
0.123,32160.329135481115,32026.840675176878,32101.227374430382,34629.66289011709,34451.19735628804,34571.534116241346
0.124,32179.69005720463,32045.182601020206,32090.018419748347,34616.40545046122,34449.157750187136,34506.266721012435
0.125,32175.614073683893,32042.125613379652,32073.714485665387,34514.42514541605,34354.31606649512,34359.41508174738
0.126,32159.31013960093,32019.707704015582,32027.85967105706,34349.217051242864,34184.00895706967,34130.979198446184
0.127,32116.51231263316,31978.94786880818,31969.776905886516,34142.19703200115,33998.40480188746,33928.038391406284
0.128,32077.79046918613,31948.37799240263,31932.074058319668,33963.7314981721,33825.038283310656,33758.7510850313
0.129,32018.688708135396,31894.371210752823,31881.12426431042,33766.90950943491,33632.29550677528,33546.63205053733
0.13,31984.042848209105,31852.59237966524,31828.136478540797,33393.66159296957,33222.334680493674,33022.45328260513
0.131,31859.72535082653,31710.95195231952,31633.50826542546,32897.01750739956,32733.84901932728,32454.4229835035
0.132,31736.426849324143,31605.99537666046,31531.608677406955,32523.769590934222,32433.00711944401,32254.541585614956
0.133,31661.021154190454,31555.04558265121,31519.380726844734,32435.04672554492,32375.89814861871,32340.205041852903
0.134,31649.81219950842,31548.9316073701,31549.950603250283,32457.482392654856,32386.096179123233,32409.551649283625
0.135,31663.05914595082,31555.04558265121,31572.368512614354,32576.79934955771,32494.19530247112,32564.561712952287
0.136,31688.53404295545,31582.558471416207,31620.26131898305,32735.888625428182,32652.264775291143,32776.680747446255
0.137,31730.312874043033,31619.242323102866,31669.173121231932,32938.82943246808,32840.92833962471,32975.542342284345
0.138,31775.148692771174,31661.021154190454,31712.989944079887,33117.29496629714,33012.25525210061,33150.94846696205
0.139,31819.984511499315,31703.818981158223,31759.8637545684,33318.196167236136,33207.037634736895,33360.008092304655
0.14,31875.01028902931,31760.882750448585,31822.022503259686,33690.42428065103,33616.9984610185,33882.147254135954
0.141,31994.232807010954,31899.466190153747,32016.650716375025,34190.127775372384,34107.52372828579,34450.17755323758
0.142,32088.999423868165,31985.06184408929,32101.227374430382,34550.118252181855,34400.20720376545,34645.979738924325
0.143,32187.842024246107,32051.296576301316,32122.626287914267,34640.88072367206,34464.45479594391,34584.791555897216
0.144,32185.804032485743,32054.353563941873,32098.17038678983,34630.682693167546,34464.45479594391,34518.50435761785
0.145,32176.63306956407,32045.182601020206,32071.67649390502,34523.60337287011,34363.49429394919,34369.61311225189
0.146,32154.2151602,32021.745695775953,32025.821679296692,34363.49429394919,34197.26639672555,34143.21683505161
0.147,32110.39833735205,31980.98586056855,31974.87188528744,34151.37525945522,34002.48401408926,33933.13740665854
0.148,32073.714485665387,31942.26401712152,31934.11205008004,33968.83051342436,33830.13729856292,33760.7906911322
0.149,32021.745695775953,31895.39020663301,31889.276231351898,33768.94911553581,33631.27570372482,33553.77067189049
0.15,31974.87188528744,31843.42141674357,31819.984511499315,33405.899229574985,33231.512907947734,33031.6315100592
0.151,31866.858321987827,31716.046931720444,31636.56525306601,32893.95809824821,32736.908428478637,32459.521998755758
0.152,31743.55982048544,31609.052364301016,31532.62767328714,32541.106242791895,32448.30416520079,32267.799025270826
0.153,31666.11613359138,31561.15955793232,31527.532693886213,32440.145740797176,32382.016966921423,32344.284254054706
0.154,31653.888183029158,31550.96959913047,31559.12156617195,32473.799241462082,32394.254603526846,32418.729876737685
0.155,31665.097137711193,31556.064578531394,31578.482487895464,32579.858758709066,32498.27451467293,32574.75974345681
0.156,31694.64801823656,31584.596463176575,31622.299310743423,32774.64114134535,32681.83906375424,32802.17582370755
0.157,31742.540824605254,31633.50826542546,31672.23010887249,32959.22549347712,32864.383809785104,33000.01761549519
0.158,31778.20568041173,31671.211112992303,31721.14191112137,33133.61181510437,33026.53249480693,33164.20590661792
0.159,31817.946519738947,31704.83797703841,31765.97772984951,33347.77045569924,33238.6515293009,33388.562577717305
0.16,31886.219243711344,31770.05371337025,31833.23145794172,33677.16684099515,33611.89944576624,33890.30567853957
0.161,31965.700922365773,31879.08627255005,31999.327786411883,34191.14757842284,34109.5633343867,34458.335977641196
